,Date,Lat,Long,Confirmed,Deaths,Recovered,Active
116,2020-01-22,13.4432,-15.3101,0,0,0,0
117,2020-01-22,42.3154,43.3569,0,0,0,0
118,2020-01-22,51.165691,10.451526,0,0,0,0
119,2020-01-22,7.9465,-1.0232,0,0,0,0
120,2020-01-22,39.0742,21.8243,0,0,0,0
121,2020-01-22,15.7835,-90.2308,0,0,0,0
122,2020-01-22,9.9456,-9.6966,0,0,0,0
123,2020-01-22,4.860416000000002,-58.93018000000001,0,0,0,0
124,2020-01-22,18.9712,-72.2852,0,0,0,0
125,2020-01-22,41.9029,12.4534,0,0,0,0
126,2020-01-22,15.2,-86.2419,0,0,0,0
127,2020-01-22,47.1625,19.5033,0,0,0,0
128,2020-01-22,64.9631,-19.0208,0,0,0,0
129,2020-01-22,20.593684,78.96288,0,0,0,0
130,2020-01-22,-0.7893,113.9213,0,0,0,0
131,2020-01-22,32.427908,53.68804599999999,0,0,0,0
132,2020-01-22,33.223191,43.679291,0,0,0,0
133,2020-01-22,53.1424,-7.6921,0,0,0,0
134,2020-01-22,31.046051,34.851612,0,0,0,0
135,2020-01-22,41.87194,12.56738,0,0,0,0
136,2020-01-22,18.1096,-77.2975,0,0,0,0
137,2020-01-22,36.204824,138.252924,2,0,0,2
138,2020-01-22,31.24,36.51,0,0,0,0
139,2020-01-22,48.0196,66.9237,0,0,0,0
140,2020-01-22,-0.0236,37.9062,0,0,0,0
141,2020-01-22,35.90775700000001,127.766922,1,0,0,1
142,2020-01-22,29.31166,47.481766,0,0,0,0
143,2020-01-22,41.20438,74.766098,0,0,0,0
144,2020-01-22,56.8796,24.6032,0,0,0,0
145,2020-01-22,33.8547,35.8623,0,0,0,0
146,2020-01-22,6.4280550000000005,-9.429499,0,0,0,0
147,2020-01-22,47.14,9.55,0,0,0,0
148,2020-01-22,55.1694,23.8813,0,0,0,0
149,2020-01-22,49.8153,6.1296,0,0,0,0
150,2020-01-22,-18.766947,46.869107,0,0,0,0
151,2020-01-22,4.210483999999999,101.975766,0,0,0,0
152,2020-01-22,3.2028,73.2207,0,0,0,0
153,2020-01-22,35.9375,14.3754,0,0,0,0
154,2020-01-22,21.0079,-10.9408,0,0,0,0
155,2020-01-22,-20.348404,57.552152,0,0,0,0
156,2020-01-22,23.6345,-102.5528,0,0,0,0
157,2020-01-22,47.4116,28.3699,0,0,0,0
158,2020-01-22,43.7333,7.4167,0,0,0,0
159,2020-01-22,46.8625,103.8467,0,0,0,0
160,2020-01-22,42.708678000000006,19.37439,0,0,0,0
161,2020-01-22,31.7917,-7.0926,0,0,0,0
162,2020-01-22,-22.9576,18.4904,0,0,0,0
163,2020-01-22,28.1667,84.25,0,0,0,0
164,2020-01-22,12.5211,-69.9683,0,0,0,0
165,2020-01-22,12.1696,-68.99,0,0,0,0
166,2020-01-22,18.0425,-63.0548,0,0,0,0
167,2020-01-22,52.1326,5.2913,0,0,0,0
168,2020-01-22,-40.9006,174.886,0,0,0,0
169,2020-01-22,12.865416,-85.207229,0,0,0,0
170,2020-01-22,17.607789,8.081666,0,0,0,0
171,2020-01-22,9.082,8.6753,0,0,0,0
172,2020-01-22,41.6086,21.7453,0,0,0,0
173,2020-01-22,60.472,8.4689,0,0,0,0
174,2020-01-22,21.512583,55.92325500000001,0,0,0,0
175,2020-01-22,30.3753,69.3451,0,0,0,0
176,2020-01-22,8.538,-80.7821,0,0,0,0
177,2020-01-22,-6.314993,143.95555,0,0,0,0
178,2020-01-22,-23.4425,-58.4438,0,0,0,0
179,2020-01-22,-9.19,-75.0152,0,0,0,0
180,2020-01-22,12.879721,121.774017,0,0,0,0
181,2020-01-22,51.9194,19.1451,0,0,0,0
182,2020-01-22,39.3999,-8.2245,0,0,0,0
183,2020-01-22,25.3548,51.1839,0,0,0,0
184,2020-01-22,45.9432,24.9668,0,0,0,0
185,2020-01-22,61.52401,105.318756,0,0,0,0
186,2020-01-22,-1.9403,29.8739,0,0,0,0
187,2020-01-22,13.9094,-60.9789,0,0,0,0
188,2020-01-22,12.9843,-61.2872,0,0,0,0
189,2020-01-22,43.9424,12.4578,0,0,0,0
190,2020-01-22,23.885942,45.079162,0,0,0,0
191,2020-01-22,14.4974,-14.4524,0,0,0,0
192,2020-01-22,44.0165,21.0059,0,0,0,0
193,2020-01-22,-4.6796,55.492,0,0,0,0
194,2020-01-22,1.2833,103.8333,0,0,0,0
195,2020-01-22,48.669,19.699,0,0,0,0
196,2020-01-22,46.1512,14.9955,0,0,0,0
197,2020-01-22,5.152149,46.199616,0,0,0,0
198,2020-01-22,-30.5595,22.9375,0,0,0,0
199,2020-01-22,40.463667,-3.74922,0,0,0,0
200,2020-01-22,7.873054,80.77179699999998,0,0,0,0
201,2020-01-22,12.8628,30.2176,0,0,0,0
202,2020-01-22,3.9193,-56.0278,0,0,0,0
203,2020-01-22,60.128161,18.643501,0,0,0,0
204,2020-01-22,46.8182,8.2275,0,0,0,0
205,2020-01-22,23.7,121.0,1,0,0,1
206,2020-01-22,-6.369028,34.888822,0,0,0,0
207,2020-01-22,15.870032,100.992541,2,0,0,2
208,2020-01-22,8.6195,0.8248,0,0,0,0
